,Airline,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Score,ranked_Seat Comfort,ranked_Staff Service,ranked_Food & Beverages,ranked_Inflight Entertainment,ranked_Value For Money,ranked_Overall Rating,ranked_Score
0,Air France,2.9183168316831685,3.262376237623762,3.097772277227723,3.129950495049505,2.6584158415841586,4.625,0.09430276900976561,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
1,Air India,2.5257847533632285,2.688340807174888,2.5650224215246635,1.9652466367713004,2.2903587443946187,3.4820627802690582,0.013310561054160749,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
2,Air New Zealand,3.0087336244541483,3.2620087336244543,3.0480349344978164,3.2052401746724892,2.5283842794759823,4.460698689956332,0.08488961542170274,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
3,Air Tahiti Nui,2.358974358974359,2.948717948717949,2.3076923076923075,2.3333333333333335,1.8974358974358974,2.948717948717949,0.07239079980835994,Below middle,Above middle,Below middle,Below middle,Below middle,Below middle,Negative
4,Alaska Airlines,2.6481481481481484,2.858974358974359,2.6424501424501425,2.3133903133903133,2.146723646723647,3.4074074074074074,0.038590657773667554,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
5,All Nippon Airways,4.1395348837209305,4.507751937984496,4.046511627906977,3.9302325581395348,4.170542635658915,7.949612403100775,0.23498791059294719,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
6,American Airlines,2.0146862483311083,2.067423230974633,2.55607476635514,1.5430574098798397,1.5113484646194926,1.9536048064085447,-0.016612404156997784,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
7,Cathay Pacific Airways,3.6163101604278074,3.6149732620320854,3.2406417112299466,3.820855614973262,3.3328877005347595,6.1671122994652405,0.15480594356033586,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
8,Copa Airlines,2.3625954198473282,2.683206106870229,2.3702290076335877,2.0839694656488548,1.9351145038167938,2.8282442748091605,-0.004052598936571841,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
9,Delta Airlines,2.554606741573034,2.826067415730337,2.627865168539326,2.858426966292135,2.150112359550562,3.3986516853932582,0.035612144042419185,Below middle,Below middle,Below middle,Above middle,Below middle,Below middle,Negative
10,EVA Air,4.01779359430605,4.263345195729538,3.8754448398576513,3.832740213523132,3.99644128113879,7.419928825622776,0.2387652300794566,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
11,Eithad Airways,2.621442125237192,2.6347248576850095,2.4193548387096775,2.801707779886148,2.2362428842504745,3.411764705882353,0.025431958872293436,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
12,Emirates,3.1998535871156664,2.9670571010248903,2.9787701317715958,3.718887262079063,2.740117130307467,4.6522693997071745,0.10486941245339948,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
13,Frontier Airlines,1.7550268096514745,2.098190348525469,3.2650804289544237,1.0180965147453083,1.3525469168900803,1.5241286863270778,-0.030006556044190346,Below middle,Below middle,Above middle,Below middle,Below middle,Below middle,Negative
14,Hawaiian Airlines,2.501831501831502,2.7106227106227108,2.2857142857142856,2.21978021978022,2.1245421245421245,3.2124542124542126,0.030254290104996962,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
15,Japan Airlines,3.898230088495575,4.278761061946903,3.774336283185841,3.6106194690265485,3.7787610619469025,7.123893805309734,0.2080266847418761,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
16,Jetblue Airways,2.485535574667709,2.483971853010164,2.4683346364347147,2.6106333072713057,1.7849882720875685,2.496481626270524,0.002997408993037649,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
17,Korean Air,3.7037037037037037,3.857142857142857,3.5555555555555554,3.365079365079365,3.5767195767195767,6.518518518518518,0.1841678867717597,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
18,Qatar Airways,3.9734138972809667,4.28821752265861,3.9178247734138973,4.106948640483384,3.7915407854984893,7.188519637462235,0.22544976752581963,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
19,Singapore Airlines,3.6727642276422765,3.938008130081301,3.542682926829268,3.888211382113821,3.4298780487804876,6.5233739837398375,0.16620969960772436,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
20,Skywest Airlines,3.8,3.6,2.2,0.8,3.2,6.2,0.2554970238095238,Above middle,Above middle,Below middle,Below middle,Above middle,Above middle,Negative
21,Southwest Airlines,2.4322876817138486,2.8286151491966334,2.5501147666411628,1.7054322876817138,2.2654934965570006,3.4001530221882175,0.04250160425323253,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
22,Spirit Airlines,1.5208681135225375,1.854424040066778,2.6497495826377295,1.6323873121869783,1.457762938230384,1.8086811352253755,-0.03885399049367839,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
23,Turkish Airlines,2.739894551845343,2.8922085530169888,3.0152314001171647,3.074985354422964,2.3983596953719974,3.6754540128881077,0.049904288361568884,Above middle,Below middle,Above middle,Above middle,Above middle,Above middle,Negative
24,United Airlines,2.1203610832497493,2.4587094617184886,2.8268137746573054,1.6980942828485457,1.72584419926446,2.4861250417920426,-0.007690497035786534,Below middle,Below middle,Below middle,Below middle,Below middle,Below middle,Negative
25,Virgin Atlantic Airways,2.9962406015037595,3.6353383458646618,3.1052631578947367,3.319548872180451,2.973684210526316,5.406015037593985,0.11845903072751851,Above middle,Above middle,Above middle,Above middle,Above middle,Above middle,Negative
