,Airline,Year,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Score
0,Air France,2016,3.375,3.5982142857142856,3.8392857142857144,2.919642857142857,3.205357142857143,5.598214285714286,0.14092046502139882
1,Air France,2017,3.198776758409786,3.4311926605504586,3.2339449541284404,2.9755351681957185,3.05045871559633,5.659021406727829,0.12097411434487337
2,Air France,2018,2.9373219373219377,3.472934472934473,3.4259259259259256,3.4316239316239314,2.6367521367521367,4.505698005698005,0.0909271727081797
3,Air France,2019,2.9025157232704406,3.256289308176101,3.018867924528302,3.3364779874213837,2.6320754716981134,4.589622641509434,0.09591528292750678
4,Air France,2020,2.659090909090909,3.125,2.9545454545454546,3.0795454545454546,2.3636363636363638,4.238636363636363,0.1451800318295562
5,Air France,2021,2.732456140350877,3.0,2.789473684210526,3.100877192982456,2.4298245614035086,3.789473684210526,0.048152787245191814
6,Air France,2022,2.976950354609929,2.9858156028368796,2.882978723404255,2.9326241134751774,2.526595744680851,4.198581560283688,0.07796955758063187
7,Air France,2023,2.7396907216494846,3.1718213058419247,2.7302405498281783,3.0962199312714773,2.4321305841924397,3.981958762886598,0.05701285764852088
8,Air France,2024,2.59375,2.375,2.71875,2.46875,1.84375,3.78125,0.0015562638565736683
9,Air India,2016,3.0606060606060606,2.4545454545454546,2.893939393939394,2.1515151515151514,3.409090909090909,5.7727272727272725,0.13998276879023638
10,Air India,2017,3.4615384615384617,3.212820512820513,2.7282051282051283,2.612820512820513,3.3384615384615386,5.530769230769231,0.13485273408854845
11,Air India,2018,3.217391304347826,3.036231884057971,3.28743961352657,2.5676328502415457,2.4903381642512077,3.7681159420289854,0.05357609100576074
12,Air India,2019,2.7937158469945356,2.7827868852459017,2.9153005464480874,2.579234972677596,2.127049180327869,3.122950819672131,0.01215062497585577
13,Air India,2020,2.5365853658536586,2.5365853658536586,2.7439024390243905,2.4634146341463414,2.0365853658536586,2.8292682926829267,-0.03182973773870987
14,Air India,2021,2.343137254901961,2.5686274509803924,2.4705882352941178,1.8627450980392157,1.6666666666666667,2.156862745098039,-0.057654549456387094
15,Air India,2022,2.105105105105105,2.5112612612612613,2.1906906906906904,1.4962462462462462,2.0795795795795797,3.2537537537537538,-0.009205186187076388
16,Air India,2023,2.0720833333333335,2.488541666666667,2.263333333333333,1.3734375,1.9640625,2.8364583333333333,-0.021666724031216986
17,Air India,2024,2.453488372093023,2.872093023255814,2.7209302325581395,1.5813953488372092,2.36046511627907,3.302325581395349,0.025775968157733798
18,Air New Zealand,2016,3.78125,4.140625,3.0,2.84375,3.78125,6.90625,0.19198954950835145
19,Air New Zealand,2017,3.3278688524590163,3.978142076502732,3.5737704918032787,3.3688524590163933,3.2950819672131146,6.360655737704918,0.15191691815304792
20,Air New Zealand,2018,3.2743589743589747,3.6307692307692307,3.5717948717948715,3.9820512820512817,2.8743589743589744,5.28974358974359,0.1106023445540478
21,Air New Zealand,2019,2.9054054054054053,3.2027027027027026,2.918918918918919,3.5878378378378377,2.385135135135135,4.0,0.04718515374158312
22,Air New Zealand,2020,2.5348837209302326,2.883720930232558,2.2790697674418605,2.7906976744186047,1.9186046511627908,2.895348837209302,0.04984300794395313
23,Air New Zealand,2021,3.1136363636363638,3.0,3.0454545454545454,2.8863636363636362,1.75,2.227272727272727,0.015171933932947058
24,Air New Zealand,2022,2.422222222222222,2.7,2.8555555555555556,2.8222222222222224,1.8444444444444446,3.3444444444444446,0.04992639157713056
25,Air New Zealand,2023,2.830508474576271,2.940677966101695,2.457627118644068,2.6864406779661016,2.0677966101694913,3.440677966101695,0.06125874130297523
26,Air New Zealand,2024,2.7857142857142856,2.7857142857142856,3.142857142857143,3.0,1.8571428571428572,2.857142857142857,-0.06341480866668835
27,Air Tahiti Nui,2016,4.0,4.0,4.0,1.0,1.0,2.0,0.1038809144072302
28,Air Tahiti Nui,2017,2.4,2.0,1.8,2.6,2.0,2.6,0.021706963534549747
29,Air Tahiti Nui,2019,2.3,3.0,2.1,2.4,2.3,3.6,0.10755660774410776
30,Air Tahiti Nui,2020,2.1,2.8,2.2,2.0,1.6,2.8,0.10581538173084226
31,Air Tahiti Nui,2021,2.0,2.75,1.75,2.5,1.25,1.0,-0.08246881373834498
32,Air Tahiti Nui,2022,1.0,3.5,1.0,2.0,1.5,1.0,0.07252018814518814
33,Air Tahiti Nui,2023,3.3333333333333335,3.3333333333333335,3.6666666666666665,2.8333333333333335,2.3333333333333335,3.8333333333333335,0.06844525613275615
34,Air Tahiti Nui,2024,2.0,5.0,3.0,2.0,2.0,7.0,0.2512689075630252
35,Alaska Airlines,2016,4.078947368421052,4.026315789473684,2.5789473684210527,3.0,3.236842105263158,6.026315789473684,0.19924200346723567
36,Alaska Airlines,2017,3.601190476190476,4.0,2.613095238095238,2.9464285714285716,2.6577380952380953,4.657738095238095,0.03740726219158198
37,Alaska Airlines,2018,2.832482993197279,3.2993197278911564,3.336734693877551,1.55187074829932,2.4243197278911564,3.954081632653061,0.07802756662208989
38,Alaska Airlines,2019,2.540204678362573,2.664473684210526,3.078216374269006,2.8808479532163744,2.0665204678362574,3.4451754385964914,0.06519212521670795
39,Alaska Airlines,2020,2.3981481481481484,2.7098765432098766,2.0030864197530867,2.567901234567901,1.9290123456790125,2.867283950617284,0.06333155746936642
40,Alaska Airlines,2021,2.5384615384615383,2.41025641025641,2.141025641025641,2.2435897435897436,1.9935897435897436,2.801282051282051,0.001120892289086624
41,Alaska Airlines,2022,2.1066666666666665,2.4533333333333336,2.2683333333333335,2.12,1.6283333333333334,2.4533333333333336,-0.014547294384645464
42,Alaska Airlines,2023,2.485294117647059,2.7941176470588234,2.3970588235294117,1.9558823529411764,2.2279411764705883,3.448529411764706,0.00813698237568281
43,Alaska Airlines,2024,2.8,3.2,2.8,2.2,2.0,3.6,0.07177041087567404
44,All Nippon Airways,2016,4.230769230769231,4.480769230769231,3.8653846153846154,4.076923076923077,4.076923076923077,7.75,0.21028816755692536
45,All Nippon Airways,2017,4.0,4.517543859649122,4.219298245614035,3.912280701754386,4.4298245614035086,8.526315789473685,0.25522064300743386
46,All Nippon Airways,2018,3.927927927927928,4.635135135135135,3.684684684684685,3.7027027027027026,4.225225225225225,8.198198198198197,0.24822987191174423
47,All Nippon Airways,2019,4.355555555555555,4.555555555555555,4.188888888888889,4.233333333333333,3.9555555555555557,7.433333333333334,0.24689811021402
48,All Nippon Airways,2020,4.5,4.583333333333333,4.0,4.083333333333333,4.5,8.583333333333334,0.31005095988796966
49,All Nippon Airways,2021,3.75,5.0,4.75,2.75,4.0,8.75,0.1598661373348873
50,All Nippon Airways,2022,4.294117647058823,4.764705882352941,4.294117647058823,4.117647058823529,4.470588235294118,8.411764705882353,0.2217280204440587
51,All Nippon Airways,2023,4.285714285714286,4.271428571428571,3.8714285714285714,3.842857142857143,4.057142857142857,7.728571428571429,0.23144470301444484
52,All Nippon Airways,2024,3.142857142857143,3.5714285714285716,3.5714285714285716,3.2857142857142856,2.857142857142857,5.428571428571429,0.15225045192902337
53,American Airlines,2019,2.559340659340659,2.0061477411477413,4.0,1.0,1.590120065120065,2.123361823361823,-0.01534723071676465
54,American Airlines,2020,1.8842794759825328,2.028675400291121,4.0,1.0,1.461863173216885,1.8564046579330422,-0.0003259100446011271
55,American Airlines,2021,1.8430245615104768,1.933459722984371,2.3992510619271186,1.5510856807511737,1.5421986464239985,1.9888930807064609,-0.007404739002724104
56,American Airlines,2022,1.950097357783693,2.118059252686582,1.673824312333629,1.8440069506063297,1.568096223996845,2.1232537217785663,-0.015291696155807251
57,American Airlines,2023,2.0097165991902832,2.148582995951417,1.96140350877193,1.8923751686909582,1.6526315789473685,2.1898110661268557,-0.009675897993140344
58,American Airlines,2024,2.0100574712643677,2.32183908045977,2.2155172413793105,2.1695402298850572,1.5301724137931034,1.8189655172413792,-0.006830472714698632
59,Cathay Pacific Airways,2016,3.8217054263565893,3.8972868217054266,3.5426356589147288,3.9651162790697674,3.612403100775194,7.122093023255814,0.2046154061291108
60,Cathay Pacific Airways,2017,3.912109375,3.9798177083333335,3.5813802083333335,3.8756510416666665,3.6751302083333335,7.223958333333333,0.1730505662155969
61,Cathay Pacific Airways,2018,3.801492819349962,3.763133030990174,3.3253968253968256,4.075774754346183,3.473922902494331,6.50453514739229,0.1731627903950249
62,Cathay Pacific Airways,2019,3.324935400516796,3.198966408268734,2.943152454780362,3.7183462532299743,2.977390180878553,5.118863049095608,0.11102213139672854
63,Cathay Pacific Airways,2020,2.872549019607843,2.9656862745098036,2.2843137254901964,3.068627450980392,2.1911764705882355,3.593137254901961,0.03346595107088776
64,Cathay Pacific Airways,2021,4.0,2.5,2.0,2.5,1.0,1.0,0.10121212121212123
65,Cathay Pacific Airways,2022,2.4,2.8666666666666667,2.4,3.2,2.2,2.4,0.06509471506751348
66,Cathay Pacific Airways,2023,3.4293785310734464,3.348870056497175,3.1129943502824857,3.7796610169491527,3.155367231638418,5.648305084745763,0.14029230916248392
67,Cathay Pacific Airways,2024,3.2,3.9,3.05,4.0,3.05,5.4,0.17984948706269832
