,Airline,Category,Rating Type,Rating,Count,percentage,percentage_start,percentage_end
0,Singapore Airlines,Food & Beverages,Good,4,238,24.1869918699187,0.0,24.1869918699187
1,Singapore Airlines,Food & Beverages,Neutral,3,155,15.752032520325205,24.186991869918696,39.9390243902439
2,Singapore Airlines,Food & Beverages,Not good,2,102,10.365853658536585,39.9390243902439,50.30487804878049
3,Singapore Airlines,Food & Beverages,Poor,1,145,14.735772357723578,50.304878048780495,65.04065040650407
4,Singapore Airlines,Food & Beverages,Very Good,5,344,34.959349593495936,65.04065040650406,100.0
5,Singapore Airlines,Inflight Entertainment,Good,4,347,35.264227642276424,0.0,35.264227642276424
6,Singapore Airlines,Inflight Entertainment,Neutral,3,146,14.83739837398374,35.264227642276424,50.10162601626016
7,Singapore Airlines,Inflight Entertainment,Not good,2,69,7.01219512195122,50.10162601626016,57.113821138211385
8,Singapore Airlines,Inflight Entertainment,Poor,1,62,6.300813008130081,57.11382113821139,63.41463414634147
9,Singapore Airlines,Inflight Entertainment,Very Good,5,360,36.58536585365854,63.41463414634146,100.0
10,Singapore Airlines,Overall Rating,Good,4,42,12.138728323699421,0.0,12.138728323699421
11,Singapore Airlines,Overall Rating,Neutral,3,51,14.739884393063585,12.138728323699423,26.87861271676301
12,Singapore Airlines,Overall Rating,Not good,2,59,17.052023121387283,26.878612716763012,43.930635838150295
13,Singapore Airlines,Overall Rating,Poor,1,133,38.4393063583815,43.930635838150295,82.3699421965318
14,Singapore Airlines,Overall Rating,Very Good,5,61,17.63005780346821,82.3699421965318,100.0
15,Singapore Airlines,Seat Comfort,Good,4,309,31.402439024390244,0.0,31.402439024390244
16,Singapore Airlines,Seat Comfort,Neutral,3,158,16.056910569105693,31.402439024390244,47.459349593495936
17,Singapore Airlines,Seat Comfort,Not good,2,91,9.247967479674797,47.459349593495936,56.707317073170735
18,Singapore Airlines,Seat Comfort,Poor,1,102,10.365853658536585,56.707317073170735,67.07317073170732
19,Singapore Airlines,Seat Comfort,Very Good,5,324,32.926829268292686,67.07317073170731,100.0
20,Singapore Airlines,Staff Service,Good,4,180,18.29268292682927,0.0,18.29268292682927
21,Singapore Airlines,Staff Service,Neutral,3,124,12.601626016260163,18.29268292682927,30.89430894308943
22,Singapore Airlines,Staff Service,Not good,2,71,7.215447154471545,30.89430894308943,38.109756097560975
23,Singapore Airlines,Staff Service,Poor,1,101,10.264227642276422,38.109756097560975,48.3739837398374
24,Singapore Airlines,Staff Service,Very Good,5,508,51.6260162601626,48.3739837398374,100.0
25,Singapore Airlines,Value For Money,Good,4,242,24.59349593495935,0.0,24.59349593495935
26,Singapore Airlines,Value For Money,Neutral,3,132,13.414634146341465,24.59349593495935,38.00813008130081
27,Singapore Airlines,Value For Money,Not good,2,93,9.451219512195122,38.00813008130081,47.459349593495936
28,Singapore Airlines,Value For Money,Poor,1,190,19.308943089430894,47.45934959349593,66.76829268292683
29,Singapore Airlines,Value For Money,Very Good,5,327,33.23170731707317,66.76829268292683,100.0
0,Qatar Airways,Food & Beverages,Good,4,391,23.62537764350453,0.0,23.62537764350453
1,Qatar Airways,Food & Beverages,Neutral,3,250,15.105740181268882,23.62537764350453,38.73111782477341
2,Qatar Airways,Food & Beverages,Not good,2,140,8.459214501510575,38.73111782477341,47.190332326283986
3,Qatar Airways,Food & Beverages,Poor,1,120,7.250755287009064,47.190332326283986,54.44108761329305
4,Qatar Airways,Food & Beverages,Very Good,5,754,45.55891238670695,54.44108761329305,100.0
5,Qatar Airways,Inflight Entertainment,Good,4,536,32.38670694864048,0.0,32.38670694864048
6,Qatar Airways,Inflight Entertainment,Neutral,3,250,15.105740181268882,32.38670694864048,47.492447129909365
7,Qatar Airways,Inflight Entertainment,Not good,2,82,4.954682779456193,47.492447129909365,52.44712990936556
